Customer_Name,Customer_Address,Customer_ID,Customer_Email,Customer_Total_Points
Customer 1,"24 3 Harbourside Lane, Bristol, UK",80098949,customer1@mail.com,6
Customer 1,"24 3 Harbourside Lane, Bristol, UK",80098949,customer1@mail.com,6
Customer 1,"24 3 Harbourside Lane, Bristol, UK",80098949,customer1@mail.com,6
Customer 1,"24 3 Harbourside Lane, Bristol, UK",80098949,customer1@mail.com,6
Customer 1,"24 3 Harbourside Lane, Bristol, UK",80098949,customer1@mail.com,6
Customer 2,"15 22 Cabot Circus, Bristol, UK",67904489,customer2@mail.com,8
Customer 2,"15 22 Cabot Circus, Bristol, UK",67904489,customer2@mail.com,8
Customer 2,"15 22 Cabot Circus, Bristol, UK",67904489,customer2@mail.com,8
Customer 2,"15 22 Cabot Circus, Bristol, UK",67904489,customer2@mail.com,8
Customer 2,"15 22 Cabot Circus, Bristol, UK",67904489,customer2@mail.com,8
Customer 3,"38 22 Cabot Circus, Bristol, UK",29306699,customer3@mail.com,7
Customer 3,"38 22 Cabot Circus, Bristol, UK",29306699,customer3@mail.com,7
Customer 3,"38 22 Cabot Circus, Bristol, UK",29306699,customer3@mail.com,7
Customer 3,"38 22 Cabot Circus, Bristol, UK",29306699,customer3@mail.com,7
Customer 3,"38 22 Cabot Circus, Bristol, UK",29306699,customer3@mail.com,7
Customer 4,"54 3 Harbourside Lane, Bristol, UK",73913221,customer4@mail.com,12
Customer 4,"54 3 Harbourside Lane, Bristol, UK",73913221,customer4@mail.com,12
Customer 4,"54 3 Harbourside Lane, Bristol, UK",73913221,customer4@mail.com,12
Customer 4,"54 3 Harbourside Lane, Bristol, UK",73913221,customer4@mail.com,12
Customer 4,"54 3 Harbourside Lane, Bristol, UK",73913221,customer4@mail.com,12
Customer 5,"68 5 Park Street, Bristol, UK",91563571,customer5@mail.com,24
Customer 5,"68 5 Park Street, Bristol, UK",91563571,customer5@mail.com,24
Customer 5,"68 5 Park Street, Bristol, UK",91563571,customer5@mail.com,24
Customer 5,"68 5 Park Street, Bristol, UK",91563571,customer5@mail.com,24
Customer 5,"68 5 Park Street, Bristol, UK",91563571,customer5@mail.com,24
Customer 6,"87 14 Redland Way, Bristol, UK",27466018,customer6@mail.com,14
Customer 6,"87 14 Redland Way, Bristol, UK",27466018,customer6@mail.com,14
Customer 6,"87 14 Redland Way, Bristol, UK",27466018,customer6@mail.com,14
Customer 6,"87 14 Redland Way, Bristol, UK",27466018,customer6@mail.com,14
Customer 6,"87 14 Redland Way, Bristol, UK",27466018,customer6@mail.com,14
